Quantity,Digi-Key Part Number,Description,Package,Manufactuer Name,Manufactuer Part number,Components,Comments
2,P33.0LCT-ND,Resistor 33R 1%,SMT 0402,Panasonic,ERJ-2RKF33R0X,R5  R6,Generic part.
5,P1.50KLCT-ND,Resistor 1K5 1% ,SMT 0402,Panasonic,ERJ-2RKF1501X,R1  R3  R4  R7  R11,Generic part.
5,P10.0KLCT-ND,Resistor 10K 1%,SMT 0402,Panasonic,ERJ-2RKF1002X,R2  R8  R9  R10  R12,Generic part.
2,490-6203-1-ND,Ceramic capacitor 18pf 1% 50V,SMT 0402,Murata,GRM1555C1H180FA01D,C3  C4,Generic part.
2,490-1519-1-ND ,Ceramic capacitor 0.1u 50v,SMT 0603,Murata,GRM188R71H104KA93D,C5  C6,Generic part.
2,445-5958-1-ND,Ceramic capacitor 2.2 10v 10% ,SMT 0603,TDK,C1608X7R1A225K080AC,C1  C2,Generic part.
1,754-1101-1-ND,LED green,SMT 0402,Kingbright,APHHS1005CGCK,LED1 (USB),Generic part.
1,754-1104-1-ND,LED red,SMT 0402,Kingbright,APHHS1005SURCK,LED2 (LED),Generic part.
1,754-1504-1-ND,LED blue,SMT 0402,Kingbright,APHHS1005QBC/D,LED3 (PWR),Generic part.
1,MMBT3906FSCT-ND ,PNP Transisotor,SOT23,Fairchild Semiconductor,MMBT3906,T1,Generic part.
1,568-4862-1-ND ,Dual Schottky common cathod.,SOT23-5,NXP,"BAS40-05,215",D1,Generic part.
1,568-4140-1-ND,TVS USB ESD protection diodes.,SOT143B,NXP,"PRTR5V0U2X,215  ",U1,
1,576-2980-1-ND,LDO 3.3V,SOT23-5,Micrel,MIC5225-3.3YM5 TR,U2,Generic part.
1,568-9586-ND,MCU ARM/M0 USB 64K/8K.,3HVQFN 5x5mm,NXP,LPC11U35FHI33/501,U3,This design was not tested with the /401 version.
1,CTX839CT-ND,Crystal 12Mhz 18pf,1.5 x 3.2mm,CTS,403C35D12M00000,Q1,Generic part.
1,952-1383-ND,SWD header," 2x5 0.05"" through hole.",Harwin,M50-3500542,J2,Generic part. Optional. Needed only when using a debugger.
1,H11611CT-ND,Micro USB 'reversed' connector,,Herosi,ZX62RD-AB-5P8,J1,Must be the 'reversed' type to match the PCB layout.
2,CKN10502CT-ND,Tactile switch,3.2 x 4.2mm,C&K,PTS810 SJM 250 SMTR LFS,S1  S2,
