Quantity,Digi-Key Part Number,Description,Type,Package,Components,Comments
2,P33.0LCT-ND,Resistor 33R 1%,,0402,R5  R6,Generic part.
5,P1.50KLCT-ND,Resistor 1K5 1% ,,0402,R1  R3  R4  R7  R11,Generic part.
5,P10.0KLCT-ND,Resistor 10K 1%,,0402,R2  R8  R9  R10  R12,Generic part.
2,490-6203-1-ND,Ceramic capacitor 18pf 1% 50V,,0402,C3  C4,Generic part.
2,311-1344-1-ND ,Ceramic capacitor 0.1u 50v,,0603,C5  C6,Generic part.
2,445-5958-1-ND,Ceramic capacitor 2.2 10v 10% ,,0603,C1  C2,Generic part.
1,754-1101-1-ND,LED green,,0402,LED1 (USB),Generic part.
1,754-1104-1-ND,LED red,,0402,LED2 (LED),Generic part.
1,754-1504-1-ND,LED blue,,0402,LED3 (PWR),Generic part.
1,MMBT3906-TPCT-ND,MBT3906,Transistor PNP,SOT23,T1,Generic part.
1,BAS40-05TPMSCT-ND,BAS40-05,Dual Schottky diodes common cathod.,SOT23-5,D1,Generic part.
1,568-4140-1-ND,PRTR5V0U2X,TVS USB ESD protection diodes.,SOT143B,U1,
1,576-2980-1-ND,MIC5225-3.3v,LDO 3.3V,SOT23-5,U2,Generic part.
1,568-9586-ND,LPC11U35FHI33/501,MCU ARM/M0,3HVQFN 5x5mm,U3,This design was not tested with the /401 version.
1,CTX839CT-ND,Crystal 12Mhz 18pf,,1.5 x 3.2mm,Q1,Generic part.
1,952-1383-ND,"SWD header 2x5 0.05"" through hole.",,,J2,Generic part. Optional. Needed only when using a debugger.
1,H11611CT-ND,Micro USB 'reversed' connector,Connector,,J1,Must be the 'reversed' type to match the PCB layout.
2,CKN10502CT-ND,Tactile switch,,3.2 x 4.2mm,S1  S2,
