Quantity,Digi-Key Part Number,Description,Package,Manufactuer Name,Manufactuer Part number,Components,Comments
1,P1.50KLCT-ND,Resistor 1K5 1% ,SMT 0402,Panasonic,ERJ-2RKF1501X,R1,Generic part.
5,P10.0KLCT-ND,Resistor 10K 1%,SMT 0402,Panasonic,ERJ-2RKF1002X,R3  R4  R5  R6  R7,Generic part.
2,490-6203-1-ND,Ceramic capacitor 18pf 1% 50V,SMT 0402,Murata,GRM1555C1H180FA01D,C3  C4,Generic part.
2,490-1519-1-ND ,Ceramic capacitor 0.1u 50v,SMT 0603,Murata,GRM188R71H104KA93D,C5  C6,Generic part.
2,311-1445-1-ND,Ceramic capacitor 1u 25v 10% ,SMT 0603,Yageo,CC0603KRX5R8BB105,C1  C2,Generic part.
1,475-2512-1-ND,LED red,SMT 0603,OSRAM Opto Semiconductors Inc,LS Q976-NR-1,D1 (LED1),Generic part.
1,754-1121-1-ND ,LED green,SMT 0602,Kingbright,APT1608SGC,D2 (PWR),Generic part.
1,568-4862-1-ND ,Dual Schottky common cathod.,SOT23-5,NXP,"BAS40-05,215",D3,Generic part.
1,DTA114EET1GOSCT-ND ,PNP prebiased transisotor 10K,SC-75,ON Semiconductor,DTA114EET1G,T1,Generic part.
1,MCP1754ST-3302E/CBCT-ND,LDO 3.3V,SOT-23A-3,Microchip Technology,MCP1754ST-3302E/CB,U1,Generic part.
1,568-9586-ND,MCU ARM/M0 USB 64K/8K.,3HVQFN 5x5mm,NXP,LPC11U35FHI33/501,U3,This design was not tested with the /401 version.
1,CTX839CT-ND,Crystal 12Mhz 18pf,1.5 x 3.2mm,CTS,403C35D12M00000,Q1,Generic part.
1,609-4616-1-ND ,Micro USB  connector,,FCI,10118193-0001LF,J1,Non reversed type.
2,CKN10502CT-ND,Tactile switch,3.2 x 4.2mm,C&K,PTS810 SJM 250 SMTR LFS,S1  S2,
1,952-1383-ND,SWD header," 2x5 0.05"" through hole.",Harwin,M50-3500542,J2,Generic part. Optional. Needed only when using a debugger.
