Quantity,Digi-Key Part Number,Description,Package,Manufactuer Name,Manufactuer Part number,Components,Comments
2,P1.50KLCT-ND,Resistor 1K5 1% ,SMT 0402,Panasonic,ERJ-2RKF1501X,R1  R2,Generic part.
2,490-6203-1-ND,Ceramic capacitor 18pf 1% 50V,SMT 0402,Murata,GRM1555C1H180FA01D,C3  C4,Generic part.
2,445-5942-1-ND ,Ceramic capacitor 0.1u 50v,SMT 0402,TDK Corporation,C1005X5R1H104K050BB,C5  C6,Generic part.
2,490-10452-1-ND,Ceramic capacitor 2.2 10v 20% ,SMT 0402,Murata,GRM155R61A225ME95D,C1  C2,Generic part.
1,754-1104-1-ND,LED red,SMT 0402,Kingbright,APHHS1005SURCK,LED,Generic part.
1,576-2980-1-ND,LDO 3.3V,SOT23-5,Micrel,MIC5225-3.3YM5 TR,U1,Generic part.
1,568-9586-ND,MCU ARM/M0 USB 64K/8K.,3HVQFN 5x5mm,NXP,LPC11U35FHI33/501,U2,This design was not tested with the /401 version.
1,CTX839CT-ND,Crystal 12Mhz 18pf,1.5 x 3.2mm,CTS,403C35D12M00000,Q1,Generic part.
1,H11611CT-ND,Micro USB 'reversed' connector,,Herosi,ZX62RD-AB-5P8,J1,Must be the 'reversed' type to match the PCB layout.
2,CKN10502CT-ND,Tactile switch,3.2 x 4.2mm,C&K,PTS810 SJM 250 SMTR LFS,S1,
